int	int	int	int	int	int	int	int	int	int	int	int	string
Category	Style	TID	Piece1	Piece2	Piece3	Piece4	Piece5	Piece6	Piece7	Piece8	FeatureMask	Comment
0	0	1060056	44	0	41	40	42	0	43	29	0	Fieldstone Archways
1	0	1060070	470	0	471	469	473	0	472	466	0	Weathered Stone Square Archways
1	1	0	476	0	477	475	479	0	478	466	0	Weathered Stone Rounded Archways
1	2	0	480	481	482	483	484	485	0	0	0	Weathered Stone Miscellaneous 1
1	3	0	474	486	487	0	0	0	0	0	0	Weathered Stone Miscellaneous 2
2	0	1060071	0	16134	9541	9537	9538	9550	9551	9555	0	Weathered Stone Rounded Walls 1
2	1	0	0	9541	9539	9543	9554	9553	9555	0	0	Weathered Stone Rounded Walls 2
2	2	0	0	9555	9548	9549	9550	9544	9541	0	0	Weathered Stone Rounded Walls 3
2	3	0	0	9555	9546	9543	9535	9536	9541	0	0	Weathered Stone Rounded Walls 4
3	0	1060072	209	0	207	205	206	0	208	204	0	Granite Square Archways
3	1	0	218	0	216	212	215	0	217	204	0	Granite Rounded Archways
3	2	0	225	213	225	224	214	226	227	226	0	Granite Miscellaneous 1
3	3	0	0	211	228	219	229	210	0	0	0	Granite Miscellaneous 2
4	0	1060058	71	0	72	69	70	0	73	54	0	Grey Brick Archways
4	1	0	83	80	78	82	79	81	84	0	0	Grey Brick Archway Edging
5	0	1060059	111	0	112	109	110	0	113	90	0	Light Brick Archways
5	1	0	0	118	116	115	114	117	0	119	0	Light Brick Battlements
5	2	0	631	636	633	632	634	635	641	642	0	Light Brick Ruins
6	0	1060063	1082	0	1081	1080	1083	0	1084	251	0	Tan Marble Fancy Archways
6	1	0	1087	0	1086	1085	1088	0	1089	257	0	Tan Marble Medium Archways
6	2	0	276	0	275	274	277	0	278	263	0	Tan Marble Plain Archways
6	3	0	284	283	285	0	287	286	288	7978	0	Tan Marble Columns
6	4	0	0	289	290	0	292	291	0	0	0	Tan Marble Arcades
7	0	1060064	1096	0	1095	1094	1097	0	1098	672	0	White Marble Fancy Archways
7	1	0	1101	0	1100	1099	1102	0	1103	666	0	White Marble Medium Archways
7	2	0	690	0	689	688	691	0	692	660	0	White Marble Plain Archways
7	3	0	680	679	681	0	683	682	684	0	0	White Marble Columns
7	4	0	0	701	702	0	704	703	0	0	0	White Marble Arcades
8	0	1060065	368	370	365	364	366	369	367	353	0	Sandstone Archways
8	1	0	395	394	0	396	397	0	398	399	0	Sandstone Fancy Arcades
8	2	0	0	403	402	0	400	401	0	0	0	Sandstone Plain Arcades
8	3	0	373	374	375	376	386	387	388	389	0	Sandstone Battlements 1
8	4	0	420	380	378	379	377	381	371	0	0	Sandstone Battlements 2
8	5	0	382	383	384	385	390	391	392	393	0	Sandstone Battlements 3
8	6	0	405	404	406	0	0	0	0	0	0	Sandstone Columns
8	7	0	951	952	953	954	955	956	957	0	0	Sandstone and Mortar Ruins 1
8	8	0	959	963	964	965	966	0	0	0	0	Sandstone and Mortar Ruins 2
9	0	1063391	10718	0	10719	10716	10725	10717	0	10720	64	Plaster Archways
10	0	1060073	538	536	534	535	528	530	529	531	0	Bamboo Rounded Walls 1
10	1	0	538	533	529	532	528	527	534	537	0	Bamboo Rounded Walls 2
11	0	1060074	24	25	49	50	85	86	120	121	0	Miscellaneous Roof Pieces 1
11	1	0	456	457	162	163	164	165	193	194	0	Miscellaneous Roof Pieces 2
11	2	0	230	231	293	294	330	331	433	434	0	Miscellaneous Roof Pieces 3
11	3	0	435	436	409	410	494	495	407	408	0	Miscellaneous Roof Pieces 4
11	4	0	492	493	523	524	554	555	677	678	0	Miscellaneous Roof Pieces 5
11	5	0	10722	10721	10723	10724	10726	10727	0	0	64	Miscellaneous Roof Pieces 6
12	0	1060075	711	715	714	713	716	717	712	0	0	Castle Battlements 1
12	1	0	718	724	719	721	720	722	723	725	0	Castle Battlements 2
12	2	0	0	0	726	727	728	729	0	0	0	Castle Battlements 3
13	0	1061686	2083	2082	2081	0	2123	2122	2121	0	0	Fences 1
13	1	0	2141	2140	2142	2143	2147	2146	2148	2149	0	Fences 2
13	2	0	2226	2227	2228	2229	2243	2244	2245	2246	0	Fences 3
13	3	0	0	2230	2231	2232	2233	2234	2235	0	0	Fences 4
13	4	0	0	2236	2237	2238	2239	2240	2241	2242	0	Fences 5
13	5	0	2285	2283	2284	2286	0	0	2299	2300	0	Fences 6
13	6	0	2289	2287	2288	2290	0	0	2299	2300	0	Fences 7
13	7	0	2294	2291	2292	2293	0	0	2299	2300	0	Fences 8
13	8	0	2297	2295	2296	2298	0	0	2299	2300	0	Fences 9
14	0	1062931	0	13550	13556	13559	13562	13568	13574	0	0	Waterfalls 1
14	1	0	0	13582	13586	13592	13598	13604	0	0	0	Waterfalls 2
15	0	1062932	0	6425	6424	6419	6427	6426	6417	0	0	Bar 1
15	1	0	0	6429	6428	6416	6431	6430	6418	0	0	Bar 2
16	0	1061020	0	6173	6174	6175	6176	6177	6178	0	0	Teleporters 1
16	1	0	0	6179	6180	6181	6182	6183	6184	0	0	Teleporters 2
17	0	1074416	11722	11713	11714	12059	11711	0	11721	11712	128	elven whitewood arch
18	0	1074417	11188	11179	11180	12060	11177	0	11187	11178	128	heartwood arch
19	0	1074418	11214	11205	11206	12061	11203	0	11213	11204	128	kiawood arch
20	0	1074419	11575	11542	11543	12062	11540	0	11574	11541	128	tanglewood arch
21	0	1076716	0	13802	13803	13804	13814	13815	0	0	512	Miscellaneous Crystal Pieces
22	0	1076717	0	13838	13839	13840	13841	13842	0	0	512	Miscellaneous Shadow Pieces
