	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	string
	tileNumber	top	bottom	adj_UN	adj_LN	adj_UE	adj_LE	adj_US	adj_LS	adj_UW	adj_LW	directSupports	cango W	cango N	cango NWC	Comment
\	10	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Dark Wood Std
\	7	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	12	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
v	6	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	13	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	8	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	11	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
o	9	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
\	14	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	15	1	1	1	1	1	1	1	1	0	0	1	1	0	0	

\	18	1	1	0	0	0	1	0	1	0	1	0	0	1	0	
v	16	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
./	17	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
o	19	1	1	0	0	0	1	0	1	0	0	0	1	1	1	

\	22	1	1	0	0	0	1	0	1	0	1	0	0	1	0	
v	20	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
./	21	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
o	23	1	1	0	0	0	1	0	1	0	0	0	1	1	1	

\	171	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Light Wood Std
\	168	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	173	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
v	166	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	172	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	167	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	170	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
o	169	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
\	186	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	9472	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	9473	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	185	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	9478	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	9479	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
v	174	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
\	175	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Light Wood Std
./	176	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
o	177	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
